PARK ID,PARK NAME,CLASSIFICATION,FULL ADDRESS,CITY,ZIP,RECREATION CENTER,FITNESS CENTER,STADIUM,ADULT LEISURE PROGRAM,PLAYGOUND,RESTROOM,SWIMMING POOL,SPRAY PAD,AQUATIC CENTER,INDOOR BASKETBALL,OUTDOOR BASKETBALL,BASEBALL UNLIGHTED,BASEBALL LIGHTED,SOCCER FIELD,RUGBY FIELD,INDOOR TENNIS COURT,TENNIS UNLIGHTED,TENNIS LIGHTED,GOLF COURSE 9 HOLE,GOLF COURSE 18 HOLE,DISC GOLF,BOCCE BALL,CROQUET,FISHING LAKE,DOG PARK,SKATE PARK,CYCLING VELODROME,BMX TRACK,MOUNTAIN BIKE TRAIL,WALKING PATH SURFACED,WALKING LOOP,EQUESTRIAN,ARCHERY  RANGE,AIRGUN RANGE,GEOLOCATION
38,Cohn Arboretum,Special Facility,12206 FOSTER RD,BATON ROUGE,70811,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,"12206 FOSTER RD
BATON ROUGE 70811
(30.557624, -91.120395)"
158,Sharp Road Park,Neighborhood,501 SHARP RD,BATON ROUGE,70815,1,,,1,1,1,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,"501 SHARP RD
BATON ROUGE 70815
(30.449757, -91.07049)"
108,Louisiana Park,Neighborhood,6998 ANTIOCH RD,BATON ROUGE,70817,,,,,1,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,"6998 ANTIOCH RD
BATON ROUGE 70817
(30.388134, -91.007368)"
72,Greenwell Springs Park,Neighborhood,7550 SHADY PARK DR,GREENWELL SPRINGS,70739,,,,,1,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,"7550 SHADY PARK DR
GREENWELL SPRINGS 70739
(30.521856, -91.009974)"
19,Blackwater Conservation Area,Conservation,9385 BLACKWATER RD,BAKER,70714,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,"9385 BLACKWATER RD
BAKER 70714
(30.534362, -91.086849)"
152,Samuel D'Agostino Park,Neighborhood,10300 EL SCOTT AVE,BATON ROUGE,70811,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,"10300 EL SCOTT AVE
BATON ROUGE 70811
(30.500051, -91.073456)"
173,Warren O. Watson Park,Neighborhood,2700 TROTTER DR,BAKER,70714,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2700 TROTTER DR
BAKER 70714
(30.604106, -91.15327)"
163,Sports Academy,Special Facility,1002 LAUREL ST,BATON ROUGE,70802,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,"1002 LAUREL ST
BATON ROUGE 70802
(30.450637, -91.179311)"
159,South Harrell's Ferry Road Park,Conservation,15750 S HARRELL'S FERRY RD,BATON ROUGE,70816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15750 S HARRELL'S FERRY RD
BATON ROUGE 70816
(30.426892, -91.014543)"
157,Seventh Street Park,Neighborhood,639 N 7TH ST,BATON ROUGE,70802,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,"639 N 7TH ST
BATON ROUGE 70802
(30.453448, -91.183573)"
